# Pathway	H12_Abundance
UNMAPPED	2441072.6018527774
UNINTEGRATED	1269526.8998655402
UNINTEGRATED|g__Prevotella.s__Prevotella_stercorea	14283.4330572344
UNINTEGRATED|g__Roseburia.s__Roseburia_inulinivorans	2930.2185621855
UNINTEGRATED|g__Escherichia.s__Escherichia_coli	370422.1019893516
UNINTEGRATED|g__Prevotella.s__Prevotella_copri	193653.0925107834
UNINTEGRATED|g__Roseburia.s__Roseburia_intestinalis	15580.1126926400
UNINTEGRATED|g__Eubacterium.s__Eubacterium_eligens	1314.3280151990
UNINTEGRATED|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	93139.3046403193
UNINTEGRATED|g__Coprococcus.s__Coprococcus_eutactus	4323.4346897779
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_ruminis	1522.9861420693
UNINTEGRATED|g__Coprococcus.s__Coprococcus_comes	1889.3936350112
UNINTEGRATED|g__Streptococcus.s__Streptococcus_salivarius	2822.4234785527
UNINTEGRATED|g__Eubacterium.s__Eubacterium_hallii	2167.3280595124
UNINTEGRATED|g__Blautia.s__Ruminococcus_torques	3041.8155159290
UNINTEGRATED|g__Roseburia.s__Roseburia_hominis	8036.9767687909
UNINTEGRATED|g__Anaerostipes.s__Anaerostipes_hadrus	6113.6677365837
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_bromii	1582.9308657143
UNINTEGRATED|g__Eubacterium.s__Eubacterium_ramulus	3897.8943464571
UNINTEGRATED|g__Mitsuokella.s__Mitsuokella_multacida	6181.2821534639
UNINTEGRATED|g__Erysipelotrichaceae_noname.s__Eubacterium_biforme	1102.7691119296
UNINTEGRATED|g__Coprococcus.s__Coprococcus_catus	2318.7383466004
UNINTEGRATED|g__Klebsiella.s__Klebsiella_pneumoniae	17054.7028652761
UNINTEGRATED|g__Haemophilus.s__Haemophilus_parainfluenzae	1448.4608821440
UNINTEGRATED|g__Eubacterium.s__Eubacterium_rectale	51110.7982548693
UNINTEGRATED|g__Phascolarctobacterium.s__Phascolarctobacterium_succinatutens	8873.7121836004
UNINTEGRATED|g__Rothia.s__Rothia_mucilaginosa	685.2194440539
UNINTEGRATED|g__Treponema.s__Treponema_succinifaciens	37828.6289612285
UNINTEGRATED|g__Eubacterium.s__Eubacterium_siraeum	2727.7637644538
UNINTEGRATED|g__Collinsella.s__Collinsella_aerofaciens	1294.9175115080
UNINTEGRATED|g__Streptococcus.s__Streptococcus_parasanguinis	578.1022179690
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_callidus	1695.8675352867
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_champanellensis	1962.7829457854
UNINTEGRATED|g__Methanobrevibacter.s__Methanobrevibacter_smithii	798.9083336231
UNINTEGRATED|unclassified	176382.1086668624
UNINTEGRATED|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_5_1_63FAA	4320.4807404855
UNINTEGRATED|g__Dorea.s__Dorea_longicatena	4924.7829314543
UNINTEGRATED|g__Blautia.s__Ruminococcus_obeum	6004.9140336501
UNINTEGRATED|g__Dorea.s__Dorea_formicigenerans	4231.6164656060
PWY-7219: adenosine ribonucleotides de novo biosynthesis	1515.5900102607
PWY-7219: adenosine ribonucleotides de novo biosynthesis|unclassified	551.6166451997
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Prevotella.s__Prevotella_copri	343.2726564619
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Escherichia.s__Escherichia_coli	122.0477531067
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	107.7356740211
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Eubacterium.s__Eubacterium_rectale	104.0711734494
PWY-7219: adenosine ribonucleotides de novo biosynthesis|g__Treponema.s__Treponema_succinifaciens	66.1095439837
