# Pathway	IT4_Abundance
UNMAPPED	921559.1085004878
UNINTEGRATED	1237221.7950422440
UNINTEGRATED|g__Phascolarctobacterium.s__Phascolarctobacterium_succinatutens	6413.5571046178
UNINTEGRATED|g__Bilophila.s__Bilophila_wadsworthia	1413.4935635969
UNINTEGRATED|g__Coprococcus.s__Coprococcus_sp_ART55_1	17345.0351667876
UNINTEGRATED|g__Bacteroides.s__Bacteroides_dorei	24457.9048268598
UNINTEGRATED|g__Bacteroides.s__Bacteroides_ovatus	10197.8632853745
UNINTEGRATED|g__Escherichia.s__Escherichia_coli	7677.3964380910
UNINTEGRATED|g__Bacteroides.s__Bacteroides_salyersiae	1131.4050609386
UNINTEGRATED|g__Bacteroides.s__Bacteroides_vulgatus	28285.8751216690
UNINTEGRATED|g__Roseburia.s__Roseburia_intestinalis	20287.9795481977
UNINTEGRATED|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	179614.7498431685
UNINTEGRATED|g__Eubacterium.s__Eubacterium_eligens	20693.6456697405
UNINTEGRATED|g__Alistipes.s__Alistipes_shahii	6826.9785512232
UNINTEGRATED|g__Roseburia.s__Roseburia_inulinivorans	15797.0472718608
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_bromii	10475.6943210710
UNINTEGRATED|g__Bacteroides.s__Bacteroides_caccae	6396.3862941128
UNINTEGRATED|g__Lachnospiraceae_noname.s__Lachnospiraceae_bacterium_8_1_57FAA	5662.2266701224
UNINTEGRATED|unclassified	147183.4201323529
UNINTEGRATED|g__Parabacteroides.s__Parabacteroides_distasonis	9692.0231225847
UNINTEGRATED|g__Bacteroides.s__Bacteroides_plebeius	25248.1692067852
UNINTEGRATED|g__Roseburia.s__Roseburia_hominis	12037.7645105874
UNINTEGRATED|g__Parasutterella.s__Parasutterella_excrementihominis	856.5498803341
UNINTEGRATED|g__Alistipes.s__Alistipes_putredinis	31846.0568805114
UNINTEGRATED|g__Paraprevotella.s__Paraprevotella_clara	11661.6862600491
UNINTEGRATED|g__Eubacterium.s__Eubacterium_ramulus	11159.6305776267
UNINTEGRATED|g__Bacteroides.s__Bacteroides_coprocola	54275.9465414059
UNINTEGRATED|g__Erysipelotrichaceae_noname.s__Eubacterium_biforme	4978.4334601209
UNINTEGRATED|g__Coprococcus.s__Coprococcus_comes	16914.3319740068
UNINTEGRATED|g__Bacteroides.s__Bacteroides_massiliensis	47423.7446483236
UNINTEGRATED|g__Coprococcus.s__Coprococcus_catus	7076.8647530688
UNINTEGRATED|g__Streptococcus.s__Streptococcus_salivarius	2777.4768605024
UNINTEGRATED|g__Eubacterium.s__Eubacterium_rectale	148371.7667177821
UNINTEGRATED|g__Bacteroides.s__Bacteroides_xylanisolvens	6772.0528173196
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_lactaris	15737.9595885304
UNINTEGRATED|g__Burkholderiales_noname.s__Burkholderiales_bacterium_1_1_47	525.2592184983
UNINTEGRATED|g__Eubacterium.s__Eubacterium_siraeum	16088.9299655458
UNINTEGRATED|g__Barnesiella.s__Barnesiella_intestinihominis	5769.4027045374
UNINTEGRATED|g__Collinsella.s__Collinsella_aerofaciens	1726.7829333354
