Title,Description,BiocVersion,Genome,SourceType,SourceUrl,SourceVersion,Species,TaxonomyId,Coordinate_1_based,DataProvider,Maintainer,RDataClass,DispatchClass,Location_Prefix,RDataPath,Tags
2021-10-14.AsnicarF_2017.gene_families,AsnicarF 2017 Gene Families,3.14,NA,FASTQ,https://www.ncbi.nlm.nih.gov/sra,NA,NA,NA,FALSE,NCBI,Lucas Schiffer schifferl@bu.edu,dgCMatrix,Rda,https://s3.amazonaws.com/experimenthub/,curatedMetagenomicData/2021-10-14/AsnicarF_2017/2021-10-14.AsnicarF_2017.gene_families.rda,curatedMetagenomicData
2021-10-14.AsnicarF_2017.marker_abundance,AsnicarF 2017 Marker Abundance,3.14,NA,FASTQ,https://www.ncbi.nlm.nih.gov/sra,NA,NA,NA,FALSE,NCBI,Lucas Schiffer schifferl@bu.edu,matrix,Rda,https://s3.amazonaws.com/experimenthub/,curatedMetagenomicData/2021-10-14/AsnicarF_2017/2021-10-14.AsnicarF_2017.marker_abundance.rda,curatedMetagenomicData
2021-10-14.AsnicarF_2017.marker_presence,AsnicarF 2017 Marker Presence,3.14,NA,FASTQ,https://www.ncbi.nlm.nih.gov/sra,NA,NA,NA,FALSE,NCBI,Lucas Schiffer schifferl@bu.edu,matrix,Rda,https://s3.amazonaws.com/experimenthub/,curatedMetagenomicData/2021-10-14/AsnicarF_2017/2021-10-14.AsnicarF_2017.marker_presence.rda,curatedMetagenomicData
2021-10-14.AsnicarF_2017.pathway_abundance,AsnicarF 2017 Pathway Abundance,3.14,NA,FASTQ,https://www.ncbi.nlm.nih.gov/sra,NA,NA,NA,FALSE,NCBI,Lucas Schiffer schifferl@bu.edu,matrix,Rda,https://s3.amazonaws.com/experimenthub/,curatedMetagenomicData/2021-10-14/AsnicarF_2017/2021-10-14.AsnicarF_2017.pathway_abundance.rda,curatedMetagenomicData
2021-10-14.AsnicarF_2017.pathway_coverage,AsnicarF 2017 Pathway Coverage,3.14,NA,FASTQ,https://www.ncbi.nlm.nih.gov/sra,NA,NA,NA,FALSE,NCBI,Lucas Schiffer schifferl@bu.edu,matrix,Rda,https://s3.amazonaws.com/experimenthub/,curatedMetagenomicData/2021-10-14/AsnicarF_2017/2021-10-14.AsnicarF_2017.pathway_coverage.rda,curatedMetagenomicData
2021-10-14.AsnicarF_2017.relative_abundance,AsnicarF 2017 Relative Abundance,3.14,NA,FASTQ,https://www.ncbi.nlm.nih.gov/sra,NA,NA,NA,FALSE,NCBI,Lucas Schiffer schifferl@bu.edu,matrix,Rda,https://s3.amazonaws.com/experimenthub/,curatedMetagenomicData/2021-10-14/AsnicarF_2017/2021-10-14.AsnicarF_2017.relative_abundance.rda,curatedMetagenomicData
2021-10-14.BackhedF_2015.gene_families,BackhedF 2015 Gene Families,3.14,NA,FASTQ,https://www.ncbi.nlm.nih.gov/sra,NA,NA,NA,FALSE,NCBI,Lucas Schiffer schifferl@bu.edu,dgCMatrix,Rda,https://s3.amazonaws.com/experimenthub/,curatedMetagenomicData/2021-10-14/BackhedF_2015/2021-10-14.BackhedF_2015.gene_families.rda,curatedMetagenomicData
2021-10-14.BackhedF_2015.marker_abundance,BackhedF 2015 Marker Abundance,3.14,NA,FASTQ,https://www.ncbi.nlm.nih.gov/sra,NA,NA,NA,FALSE,NCBI,Lucas Schiffer schifferl@bu.edu,matrix,Rda,https://s3.amazonaws.com/experimenthub/,curatedMetagenomicData/2021-10-14/BackhedF_2015/2021-10-14.BackhedF_2015.marker_abundance.rda,curatedMetagenomicData
2021-10-14.BackhedF_2015.marker_presence,BackhedF 2015 Marker Presence,3.14,NA,FASTQ,https://www.ncbi.nlm.nih.gov/sra,NA,NA,NA,FALSE,NCBI,Lucas Schiffer schifferl@bu.edu,matrix,Rda,https://s3.amazonaws.com/experimenthub/,curatedMetagenomicData/2021-10-14/BackhedF_2015/2021-10-14.BackhedF_2015.marker_presence.rda,curatedMetagenomicData
2021-10-14.BackhedF_2015.pathway_abundance,BackhedF 2015 Pathway Abundance,3.14,NA,FASTQ,https://www.ncbi.nlm.nih.gov/sra,NA,NA,NA,FALSE,NCBI,Lucas Schiffer schifferl@bu.edu,matrix,Rda,https://s3.amazonaws.com/experimenthub/,curatedMetagenomicData/2021-10-14/BackhedF_2015/2021-10-14.BackhedF_2015.pathway_abundance.rda,curatedMetagenomicData
2021-10-14.BackhedF_2015.pathway_coverage,BackhedF 2015 Pathway Coverage,3.14,NA,FASTQ,https://www.ncbi.nlm.nih.gov/sra,NA,NA,NA,FALSE,NCBI,Lucas Schiffer schifferl@bu.edu,matrix,Rda,https://s3.amazonaws.com/experimenthub/,curatedMetagenomicData/2021-10-14/BackhedF_2015/2021-10-14.BackhedF_2015.pathway_coverage.rda,curatedMetagenomicData
2021-10-14.BackhedF_2015.relative_abundance,BackhedF 2015 Relative Abundance,3.14,NA,FASTQ,https://www.ncbi.nlm.nih.gov/sra,NA,NA,NA,FALSE,NCBI,Lucas Schiffer schifferl@bu.edu,matrix,Rda,https://s3.amazonaws.com/experimenthub/,curatedMetagenomicData/2021-10-14/BackhedF_2015/2021-10-14.BackhedF_2015.relative_abundance.rda,curatedMetagenomicData
2021-10-14.Bengtsson-PalmeJ_2015.gene_families,Bengtsson-PalmeJ 2015 Gene Families,3.14,NA,FASTQ,https://www.ncbi.nlm.nih.gov/sra,NA,NA,NA,FALSE,NCBI,Lucas Schiffer schifferl@bu.edu,dgCMatrix,Rda,https://s3.amazonaws.com/experimenthub/,curatedMetagenomicData/2021-10-14/Bengtsson-PalmeJ_2015/2021-10-14.Bengtsson-PalmeJ_2015.gene_families.rda,curatedMetagenomicData
2021-10-14.Bengtsson-PalmeJ_2015.marker_abundance,Bengtsson-PalmeJ 2015 Marker Abundance,3.14,NA,FASTQ,https://www.ncbi.nlm.nih.gov/sra,NA,NA,NA,FALSE,NCBI,Lucas Schiffer schifferl@bu.edu,matrix,Rda,https://s3.amazonaws.com/experimenthub/,curatedMetagenomicData/2021-10-14/Bengtsson-PalmeJ_2015/2021-10-14.Bengtsson-PalmeJ_2015.marker_abundance.rda,curatedMetagenomicData
2021-10-14.Bengtsson-PalmeJ_2015.marker_presence,Bengtsson-PalmeJ 2015 Marker Presence,3.14,NA,FASTQ,https://www.ncbi.nlm.nih.gov/sra,NA,NA,NA,FALSE,NCBI,Lucas Schiffer schifferl@bu.edu,matrix,Rda,https://s3.amazonaws.com/experimenthub/,curatedMetagenomicData/2021-10-14/Bengtsson-PalmeJ_2015/2021-10-14.Bengtsson-PalmeJ_2015.marker_presence.rda,curatedMetagenomicData
