dataset_name	dataset_name_old	#samples
EXCLUDED	VerticalTransmissionPilot	28
HMP_2012	hmp	749 (763)
KarlssonFH_2013	WT2D	145
LeChatelierE_2013	Chatelier_gut_obesity	292
LomanNJ_2013_Hi	Loman2013_EcoliOutbreak_DNA_HiSeq	44
LomanNJ_2013_Mi	Loman2013_EcoliOutbreak_DNA_MiSeq	9
NeilsenHB_2014	Neilsen_genome_assembly	396
NOT CONSIDERED	doyle_bt2	NOT CONSIDERED
NOT CONSIDERED	hmpii	NOT CONSIDERED
NOT CONSIDERED	metahit	NOT CONSIDERED
Obregon-TitoAJ_2015	Tito_subsistence_gut	58
OhJ_2014	Segre_Human_Skin	291
QinJ_2012	t2dmeta_long	290
QinJ_2012	t2dmeta_short	73
QinN_2014	Quin_gut_liver_cirrhosis	237
RampelliS_2015	Candela_Africa	38
TettAJ_2016	Psoriasis	97
ZellerG_2014	Zeller_fecal_colorectal_cancer	156
